Tweet	Class
میں نے ایٹم بم بنایا ھے ۔۔۔۔او بھائی ایٹم بمب کوٹ لکھپت والی اتفاق فیکٹری میں نہیں بنتا۔ایٹم بم کہوٹہ کی ایٹمی۔۔۔ 	P
چندے سے انقلاب اور عمران خان وزیر اعظم نہیں بن سکتے 	N
 ٹویٹر کا خیال کیسے آیا ؟	O
سرچ انجن گوگل کے نائب صدر نے فضا میں ، 130,000 فٹ کی بلندی پر چھلانگ لگا کر عالمی ریکارڈ قائم کرلیا۔ چھلانگ کی۔۔۔ 	P
 ابھی تک اسکی لہریں کبھی کبھی آ جاتی ہیں یار :أْ	P
 گندی زبان اور گٹر جیسے دماغ والے جاهل جیالے هو تم۔ جیالا هو اور جاهل نه هو یه ممکن نهیں ۔	N
قاتل بھی تم مقتول بھی تم,ظالم بھی ہم اور مظلوم بھی تم؟ 	N
ﻧﻮﺭ ﺑﻐﺪﺍﺩ ﮐﯽ ﮔﻠﯿﻮﮞ ﮐﺎ ﮨﮯ ﮨﺮ ﺍﯾﮏ ﮐﺮﻥ ﺍﺱ ﮐﯽ ﻣﺪﯾﻨﮧ ﺳﮯ ﭼﻠﯽ ﮨﮯ	P
 یہ لفظوں كى شرارت ھے سنبهل کر کچھ بهى لِكهنا تم محبت لفظ ھے ليكن یہ اكثر هو بهى جاتى ھے ۔۔۔۔!!!	P
سمارٹ فون کے عادیوں کے لیے ڈجٹل ڈیٹاکس کیپ متعارف۔ 	P
وزیر اعظم کی زیر صدارت پارلیمانی رہنماؤں کا اجلاس 	P
سوچا تھا شہباز شریف وہاں سے کام آگے لے کر جائیں گے جہاں ہم نے چھوڑا چودھری پرویز الہٰی چودھری نے پنجاب تباہ کیا شہباز نے ترقیاتی کام کیے پنجاب کو سنوار دیا	P
تیز بارش ہو ، گھنا پیڑ ہو ، اِک لڑکی ہوایسے منظر کبھی شہروں میں تو پائے نہ گئے 	P
لاہور: دھرنوں کے باعث سیاسی عدم استحکام تھا۔ اب معاملہ سنبھل گیا ہے ۔ میاں مجتبی 	P
مؤرخ لکھے گاکہ مملکتِ خداد پر ایسا کڑا وقت بھی آیا کہ ایک ڈی جے کو پالنے کیلیے کسی لیڈر کو چندہ مانگناپڑ گیا۔چندے سے انقلاب	N
 "مر گئے مردود نہ ڈیزل نا امرود"نه سرمه سندور" N
اک کھیل نے ہمارا مقدر بدل دیا وہ تو ہمیں پکار کر ایسا چھپا کہ زوبی 	P
ابن ڈیزل ہواُکرے کوئی میرے درد کی دوا کرے کوئی 	N
پی ٹی آئی کا استعفے واپس نہ لینے کا اعلان 	P
: ایک پنجرے میں چھ طوطے ایک طوطی کو چھیڑ رھے تھے ۔ جبکہ دوسرے پنجرے 	N
باجوڑ ایجنسی میں پولیو ٹیم پر حملہ، دو لیوی اہلکار زخمی 	N
سہیل بخاری کا کہنا تھا کہ تعزیتی ریفرنس میں یاسین ملک کے قریبی دوستوں کی شرکت نہ کرنے پر انہیں بہت افسوس ہے 	N
®[انقلاب/دھرنا/ڈیل]ماڈل ٹاﺅن میں جاں بحق ہونے والوں کوخون بہادینے کے علاوہ قادری کوعلیحدہ سے ستر کروڑدینے کابھی یقین دلایاگیا-رپورٹ	N
ایک شرابی کے ہاں ہر وقت شراب کا دَور رہتا تھا۔ایک مرتبہ اس کے دوست احباب جمع تھے شراب تیار تھی اس نے اپنے غلام۔۔۔ 	N
اگر خیبر پختونخوا میں کوئی کام ھوا ھوتا تو پھر عمران کے دھرنوں کا جواز بن سکتا تھا 	P
انشا ءاللہ بابے دا ڈیرہ سے تا ریخی قافلہ گجرات جلسہ میں شر کت کر ے گا -ملک چاند محبوب 	P
 ا عمران خان کو ان دنوں شیدے کو دور بھگا دینا چاہیے جب ,اسکے بیٹے پاکستان میں ہوں ، یہ چھڑے چھانٹ اخلاقی گراوٹ کا شکار ہوتے ہیں ۔	N
فتح حق اورسچ کی ہوئی،الطاف حسین کورابطہ کمیٹی کی مبارکباد ۔	P
ﺍﻧﻘﻼﺏ ﮐﺎ ﺍﯾﺠﻨﮉﺍ ﻧﮧ ﺑﺪﻻ ﮨﮯ ﻧﮧ ﺑﺪﻟﮯ ﮔﺎ، ﮐﯿﺌﺮﭨﯿﮑﺮ ﺣﮑﻮﻣﺖ ﺑﮭﯽ ﻗﻮﻣﯽ ﺣﮑﻮﻣﺖ ﺑﻦ ﺳﮑﺘﯽ ﮨﮯ ﻣﮕﺮ ﻣﮏ ﻣﮑﺎ ﻭﺍﻟﯽ ﺣﮑﻮﻣﺖ ﻧﮩﯿﮟ ﭼﺎھتے ۔طاہر القادری	P
۔ تحریک انصاف ضمنی انتخابات میں حصہ نہیں لے گی،ترجمان شیریں مزاری۔ جی ہان مگر قبضہ مافیا اور لوٹوں کی حمایت ضرور کرے گی	N
تمام مسلمانوں کو نیا اسلامی سال مبارک ہو۔	P
جو بُرائی کو نہیں پہچانتا ، وہ زیادہ قریب ھے کہ اُس میں واقع ھو جائے ۔ سیدنا عمر فاروقؓ	N
جو ھو سکے تو تنہائیوں میں پڑھ لینا تمہارے لئے دل کی کتاب لایا ھوں ۲/۲ 	P
 اصلی صرف طالبان / لشکر جھنگوی ہیں اصلی اور خالص 	P
وینا ملک کا بیٹا سوشل میڈیا پر مقبولیت میں شلپا شیٹھی کے بیٹے سے آگے : کراچی۔۔۔۔۔۔۔۔۔ وینا ملک کے بیٹے ابرام خان۔۔۔ 	P
RT : حکومتوں سے الگ ہونے کا فیصلہ حتمی ہے ،رہنما ایم کیوایم فاروق ستار	N
جس کو اللہ کے نبی ﷺ نے شہادت کی خوشخبری دیدی۔ 	P
اسلام آباد: چیرمین تحریک انصاف عمران خان کا کہنا ہے کہ محرم الحرام آنے کے باوجود ہم اسلام آباد سے نہیں جائیں گے ۔۔۔ 	P
ڈیزل خان نے تمبو میں اکیلا رہنے کی پیشن گوئی کر دی ، ناکام ڈیزل خان 	P
ﺍِﮎ ﻧﺌﯽ ﻃﺮﺯ ﮐﺎ ﮐﺮﺩﺍﺭ ﺩﯾﺎ ﺟﺎﺋﮯ ﮔﺎﺍﺱ ﮐﮩﺎﻧﯽ ﻣﯿﮟ ﻣﺠﮭﮯ ﻣﺎﺭ ﺩﯾﺎ ﺟﺎﺋﮯ ﮔﺎ !!	N
 جس قسم گندے الفاظ فضلو نے دھرنے کی خواتین کے بارے میں استعمال کئے اس پر تمام سیاسی اور مزھبی جماعتوں کو انکا بائکاٹ کرنا چاہئے 	N
ﻋﺎﻟﻤﯽ ﺍﺳﺘﻌﻤﺎﺭ ﺍﻣﺮﯾﮑﺎ ﻭ ﺍﺳﺮﺍﺋﯿﻞ ﺍﻭﺭﺍُﻧﮑﮯ ﻧﻤﮏ ﺧﻮﺍﺭ ﺳﻌﻮﺩﯼ ﻋﺮﺏ ﮐﮯ ﺳﯿﻨﮯﻣﯿﮟ ﺧﻨﺠﺮ ﮐﯽ ﻣﺎﻧﻨﺪ ﻣﺎﮦ ﻣﺤﺮﻡ، ﺻﻔﺮﺍﻭﺭ ﺭﺑﯿﻊ ﺍﻻﻭﻝ۔۔۔ 	N
حق پرست رکن سندھ اسمبلی سمیتا افضال کی علالت پر جناب کا اظہار تشویش 	N
ایم کیوایم ڈسٹرکٹ ملتان کے صدر ذیشان دلاور قریشی کی والدہ محترمہ کے انتقال پر رابطہ کمیٹی کااظہار تعزیت via 	N
اتنا کام پڑا ہے اور میں کھیل رہی ہوں اردو کی بورڈ سے 	P
 محسن طلوع ماہ محرم کے ساتھ ہیہر دل مثال شہر خموشاں اداس ہے 	N
 جنوبی پنجاب کا سارا پیسہ صرف لاہور پہ لگتاہے تب کوئی پٹواری نئیں کہتا کہ واقعی انہیں حق دو گجرات یونیورسٹی کا دکھ ہے 	P
ایم کیوایم کے قائد الطاف حسین کی تصنیف ’’فلسفہ محبت ‘‘ کے انگریزی ترجمہ کی تقریب اجراء 24اکتوبر جمعہ کی شام میریٹ ہوٹل میں منعقد ہوگی	P
 کھیل اور نماز الگ الگ ھیں اپ زرا پڑھا کریں ۔مینڈک اچھے نھیں ھوتے !!	P
دبئی، پہلا ٹیسٹ: آسٹریلیا کے خلاف پاکستان کی دوسری وکٹ گرگئی:	N
سردار بنے سے پہلے علم حاصل کرو، کہیں ایسا نہ ہو کہ سرداری کا غرور تمہیں طلبِ علم سے روک دے اور تم جاہل بن کر زندگی گذارو ۔ سیدنا عُمر فاروقؓ	P
 اور دس نارمل فیصل عابدییے رحلت فرماویں تو ایک جعفر پیدا ہوتا ہے ۔	N
ایم کیوایم کا آزاد کشمیر حکومت سے علیحدگی کا اعلان اسکے ساتھ ہی حکومت سے اندر باہر ہونے کا عالمی ریکارڈ بھی بنا ڈالا۔ سیاسی لطیفے 	N
 مشرقِ وسطیٰ میں امریکا اپنی ہی پالیسیوں کے نتائج بھگت رہا ہے ۔	N
 اوہ معذرت، بے دھیانی، کئی مہینوں بعد فون سننا پڑ گیا دماغ ہی بند ہوگیا، عادت نہیں فون پر بات کرنے کی :پ	N
برطانوی فوج نے افغانستان میں آخری اڈاہ بھی خالی کردیا 	P
ڈات کے کهڑا هے آب عمر انٹهیک کرے گا سب کپتان نیاء بنے گا پاکستان نیاء بنے گا پاکستان انشاء آللہ 	P
کون ديکھے گا اب صليبوں پر صورتيں وہ پيمبروں جيسی ميری دنيا کے بادشاہوں کی عادتيں ہيں گداگروں جيسی	P
یہ اُڑی اُڑی سی رنگت یہ کُھلے کُھلے سے گیسو تیری صبح کہ رہی ہے تیری رات کا فسانہ!	P
جو چیز ﷲ نہ دے بندوں سے نہیں مانگنا چاہیے ۔۔ 	P
 تو میں کب کہہ رہا ہوں ایساوہ تو صحیح اور غلط کی لڑائی تھی 	P
 مار دیا جائے ک چھوڑ دیا جائے بول تیرے ساتھ کیا سلوک کیا جائے 	N
شہباز شریف نے جھنگ کے سیلاب زدگان کو چیک دئے تھے ۔ وہ کل باونس ہو گئے ۔	P
 سر جی وہ بھی بنتی یے مگر یہ چاٹی کی لسی سے بنوائی ہے کھٹی کھٹی	P
پہلا ٹیسٹ: آسٹریلیا کیخلاف پاکستان کی بیٹنگ جاری 	P
 ہاں یہی احساس پیدا کرنا ہے 	P
حضرت مولانا محمود اشرف عثمانی صاحب مدظلہ حاجیوں کیلئے چند ھدایات 	P
انصافی ٹائگر - عمران خان کے معذور افراد کے ساتھ گزرے سب سے قیمتی۔۔۔ 	P
غم کے لاکھوں دکانداروں سے اک تبسم فروش بہتر ہے 	P
مشرف کے دوست شیرافگن نے کہا تھا کہ فضل الرحمن کواس شرط پر اپوزیشن لیڈر بنایا گیا تھا کہ وہ مشرف کی پالیسیوں کی حمایت کریں گے ڈیزل کی اصلیت	P
 میں ابھی باہیک پر مری روڈ راولپنڈی سے آیا ھوں ۔ میٹرو کے کام کی وجہ سے مری روڈ پر بہت زیادہ گرد و غبار ھے ٹریفک کا جام رہنا معمول ھے 	N
بلدیاتی انتخابات میں التوا کا ذمہ دار الیکشن کمیشن ہے :عمران خان 	N
میرے پاس جن ہیں جو امریکا ،یورپی پارلیمنٹ کے بل لے آتے ہیں ،قادری: لاہور۔۔۔۔۔۔۔حکومت اور عوام ۔۔۔ 	P
پشاور: حزب اختلاف کی جانب سے محمد علی شاہ کا نام سامنے آیا۔	P
 ٹی وی سے فوٹو کیوں کھینچ رہیں ۔ گوگل کرکے تصویر لگا دیں :)	P
مبارک ہو۔ ہمیں آپ پہ فخر ہے ۔الله آپکو مزید کامیابیاں عطا فرمائے ۔آمین	P
حُقے کی انگلش کیا ہے ، ساتھ یہ بھی بتائیے کہ گٹکے کو انگلش میں کیا کہتے ہیں ۔ 	N
 خدانخواسته عمران خان تیرے گھر گھس گیا تو کیا هو گا اس کی تصویر بھی لگا دو	N
 بھائ نہ جھک مارو نہ حق بس تمیز سے زندگی گزارو	P
ھائے کیا چیز ھے محبت بھی ۔۔۔۔۔۔۔۔	P
ایرانی دہشتگرد امین شہیدی نے 30 اگست کو اسلام آباد میں مولانا فضل الرحمن سے انتقام کا اعلان کیا تھاوہی ہوا۔۔ بس الله نے مولانا کو بچا لیا	P
حدیثا الله کاذکر ایمان کاجھنڈا شیطان سے حفاظت کا قلعه اور بھڑکتی آگ (نارجهنم) سے نجات کاذریعه ھے )گلدستهء فقر صفحه118(	P
ایکس نیوز۰ محرم الحرام،ایکس نیوز کی جانب سے تمام مسلمانوں 	P
 اردو ٹرینڈ زیادہ بہتر رہے گا کپتان ڈیزل	P
بنوں میں مکانات کے کرائے بڑھ گئے ،متاثرین بکاخیل کیمپ جانے پر مجبور 	N
ﻭﺍﮦ ﮐﯿﺎ ﺑﺎﺕ ﮨﮯ 	P
شیخ جیسا بے شرم جسے میں اپنا چپڑاسی بھی نہ رکھو۔سچ ہی تو کہا ہے چپڑاسی نہیں رکھے گا پارٹنر بنائے گا۔ 	N
حلقہ خواتین کے تحت ملک بھر میں اجتماع عام کے سلسلے میں بریفنگ اور ملاقاتوں کا سلسلہ جاری 	P
 میں چاھتا بھی یھی تھا تو بے وفا نکلے ۔تجھے سمجھنے کا کوئی تو سلسلا نکلے !!	N
عمران بھائی اپ کے لطیفوں پر تو اب لوگ کا فی زور کا ہنستے ہیں ۔ آپ اپنے شوز کا ٹکٹ لگا لیں پیسے مل جائیں گے اور مانگنے کی شرمندگی بھی نہ ہو گی	P
تین چیزیں محبت بڑھانے کا ذریعه ھیں )1( سلام کرنا )2( دوسروں کے لیے مجلس میں جگه خالی کرنا )3( مخاطب کو بھترین نام سے پکارنا )حضرت عمر (	P
وقت کا تقاضا ہے کہ وسائل کی منصفانہ تقسیم کے لیے انتظامی بنیادوں پر صوبے بنائے جائیں ۔ انھیں مالی وسیاسی اختیارات دئے جائیں ۔ وفاق مشترکہ وحدت بنے ۔	P
لاہور: اگلے جلسے سے پہلے واپس آجائیں گے ۔ 	P
جناب اسپیکر آج سے نون لیگ کو منافق لیگ کا نام دیا جائے کیونکہ نون لیگ نے سچ تو کبھی بولنا نہیں 	N
مک جائے نام تیرا سیاست کے فسانے سے تیرا رونا ہی بنتا ہے زمانے میں - 	N
بھنگ کا نشہ ہے کہ اترتا ہی نہیں ہے ۔۔۔۔۔۔۔۔۔ 	N
کشکول توڑنے کا دعویٰ پاکستان کو قرضوں میں ڈبو گیا۔غیر ملکی قرضے 65 ارب ڈالر سے تجاوز۔ ہر پاکستانی 80،000 سے زائد روپے کا مقروض۔ قرضے 1600 کھرب تک پہنچ گئے 	N
ایسا آسان حدف۔ بچوں والا میچ ہو گیا یہ تو۔ ہا ہا ہا ہا ہا	P
ﺍﺳﺘﯿﻌﻔﯽٰ ﻣﺎﻧﮕﻨﮯ ﻭﺍﻟﮯ ﭼﻨﺪﮦ ﻣﺎﻧﮕﻨﮯ ﭘﺮ ﺁﮔﺌﮯ۔۔۔	N
مریم نواز کی بحیثیت چیئرپرسن یوتھ لون اسکیم تقرری پر وفاقی حکومت سے جواب طلب: ہائی کورٹ نے … 	N
 لے دس میں سائیکو ہوتی تو اج خان کی طرح چندہ گن رہی ہوتی 	N
انقلاب کی لغت میں مایوسی اور بے یقینی نہیں ہوتی۔ ڈاکٹر طاہر القادری انقلاب آنے کو ہے 	P
رَبَّنَا وَتَقَبَّلْ دُعَاءاے میرے رب اور تو میری دُعا قبول فرما آمین یا رب العالمین	P
متروک مسترد کاسہ لیسوں کی کسی بھی مارچ کی حمایت کرنا تاریخی جرم ہوگا متروک-مسترد-کاسہ-لیسوں -کی-کسی-بھی-مارچ-ک/	P
پی آئی اے کو ایندھن کی ترسیل بحال رکھنا مشکل ہوگیا، پی ایس او: کراچی۔۔۔۔۔۔۔۔۔۔پی ایس او نے پا۔۔۔ 	N
لاہور: بڑا ہسپتال نہیں سیالکوٹ اور ہارون آباد میں چھوٹے یونٹس بنا رہی ہوں ۔ میرا 	P
ان ہتھیاروں پر پابندی لگائی جائے :Pدوستوں کے ساتھ ضرور شئیر کریں ۔ شکریہ۔۔۔ 	P
 عمران خاں زنا اور اپنے ناجائز بچوں کو پرائیویٹ معامله کھتا ھے کیا ایسے شخص کے پیچھے قوم کو چلنا چاھیے 	N
لوٹ آنے کی امیدیں ٹوٹ پائی هی نهیں بند هو پائے نهیں هیں اب بهی در، کهنا اسے (ملک عدنان احمد)	N
غذائی قلت کا شکار مزید دو بچے سول اسپتال مٹھی میں دم توڑ گئے : تھر پارکر۔۔۔۔۔۔۔۔تھر پارکر میں غذائی قلت کا شکار م۔۔۔ 	N
سٹی ٹریفک پولیس نے رواں ماہ کے دوران مجموعی طورپردوسوبارہ مقدمات درج کرائے 	N
ﻣﺎﺩﺭ ﺟﻤﮩﻮﺭﯾﺖ ﺑﯿﮕﻢ ﻧﺼﺮﺕ ﺑﮭﭩﻮ ۔ﮧﺒﺣﺎﺍﯾﺮﺍﻥ ﮐﯽ ﺑﯿﭩﯽ ﻧﺼﺮﺕ ﺑﮭﭩﻮ ﭘﺎﮐﺴﺘﺎﻥ ﮐﯽ ۔۔۔ ۔ﯽﻨﺑ ﮞﺎﻣﺍﻧﮩﻮﮞ ﻧﮯ ﺳﻘﻮﻁ ﮈﻫﺎﮎ ﮐﮯ ﺑﻌﺪ ﺑﮑﻬﺮﮮ۔۔۔ 	P
مولانا فضل الرحمن سے ملاقات کیلئے گورنر پنجاب، وفاقی وزراء، مشیروں اور مذہبی رہنماؤں کا تانتا بندھارہا 	P
انشا جی اٹھو اب کوچ کرو اس شہر میں جی کا لگانا کیا ہاہاہا اور یہ کہ کر قادری صاحب شہر اقتدار پر بہت بڑا احسان کر گے 	P
 لوگوں سے دھرنے کے لیے چندہ مانگنے والا اپنا 300 کنال کا بنی گالہ کا گھر کیوں نہیں پیج کر دھرنے خرچے پورے کرتا؟	P
اردو لغت میے نیا لفظ 	P
دبئی: چوتھے دن کا کھیل ختم، آسٹریلیا کے 59 رنز، 4 کھلاڑی آئوٹ 	P
شامی صاحب تو ایڈیٹر اور تجزیہ نگار ہیں میں رپورٹر ہوں جو اینٹ اٹھاتا ہوں بڑے بڑے کرپشن سکینڈل نکلتے تو میں جذباتی کیوں نہ ہوں :رؤف کلاسرا	N
قادری ﮐﺎ ﮐﻨﭩﯿﻨﺮ ﻇﮩﯿﺮ ﺍﻻﺍﺳﻼﻡ ﮐﻮ ﺍﻧﮑﯽ ﺭﯾﭩﺎﺋﺮﻣﻨﭧ ﮐﮯ ﭘﺮﻣﺴﺮﺕ ﻣﻮﻗﻊ ﭘﺮ ﺑﻄﻮﺭ ﺳﻮﯾﺌﻨﯿﺮ ﭘﯿﺶ ﮐﯿﺎ ﺟﺎﻧﺎ ﭼﺎﮬﯿﮯ	P
اسلام آباد: مولانا فضل الرحمان پر حملے کے خلاف کل ملک بھر میں یوم مذمت منایا جائے گا، علامہ محمد احمد لدھیانوی"	N
حنیف محمد کے پوتے شہزر محمد نے پاکستان کرکٹ میں پی آئی اے کی طرف سے سنچری بنا کر ریکارڈ بک میں اپنا نام منفرد تعارف کے طو پر درج کرا دیا	P
اس ملک کو بدنام کرنے میی لفافہ صحافت نے باقی کسر پوری کردی	N
ایدھی سنٹر ڈکیتی: مرکزی ملزم سابقہ ملازم،2 گرفتار: کراچی ۔۔۔۔۔ شہر قائد میں ایدھی ٹرسٹ کے ہیڈ آفس میں ڈکیتی کرنے … 	N
جس عہد میں لٹ جائے ایدھی کا چندہاس دور کا حاکم ہے کوئ گنجا 	N
کراچی۔۔۔۔۔۔۔ سندھ ہائیکورٹ نے بحریہ ٹاؤن کلفٹن فلائی اوور کے خلاف حکم امتناع ختم کرتے ہوئے بحریہ ٹاؤن کو تعم۔۔۔ 	P
تمام اہل اسلام کو نیا اسلامی سال مبارک ہو ۔الله پاک یہ سال ہمارے لیئے رحمتوں اور برکتوں کا باعث بنائے ہمارے حال۔۔۔ 	P
بہت سے داغی آئے اور گئے لیکن کپتان اب بھی قوم کے ساتھ اسی جذبے سے کھڑاھے 	P
ریالٹی تو یہ ہے ہمارے دونوں انقلابی گو نواز گو اور جلسوں کو اپنی کامیابی قرار دے رہے ہیں ۔یہ دونوں کام تو ان دھرنوں کے بغیر بھی ہو سکتے تھے 	P
پاکستان کی ٹیم میں ،احمد شہزاد، محمد حفیظ، اظہر علی، یونس خان، مصباح الحق،اسد شفیق، سرفراز احمد، ذوالفقار بابر، عمران خان، یاسر شاہ، اور راحت علی شامل،	O
بالآخر تیری مصروفیت کے پیش نظریہ تہہ ہوا کے اب تجھے یاد نہ کیا جائے 	P
پھلا ٹیسٹ پاکستان اسڑیلیا کے خلاف ٹاس جیت کربیٹنگ کافیصله خضربلوچ	P
 تو کٹڑ مسلمان بن جا بھائی	P
خواجہ عمران نذیر نے مریضوں سے علاج معالجے کی سہولتوں سے متعلق دریافت کیا 	P
وہ جو بیچتے تھے دوائے دل،،، وہ دکان اپنی بڑھا گئے ۔ شاہراہ دستور سے عوامی تحریک کے کارکنوں کی واپسی،، سی ڈی اے نے صفائی مہم شروع کردی	P
لاہوریوں نے اجتماع عام کے لیے دل کے دروزے کھول دیے ۔ ڈونرز کانفرنس میں ڈیڑھ کروڑ سے زائد رقم جمع کروا دی	P
 عیش کرو۔۔کم پڑجائے تو بکرے کا سر بھی ہے 	P
 ابھی تو پارٹی شروع ہوئی ہے 	P
 سائن آوٹ کرو اور کوئی اچھی سی کتاب پڑھو۔آپ زیادہ آوٹنگ نہیں کرتے شائد۔ ٹویٹر سے باھر بھی نکلا کرو ۔	P
جس عہد میں لٹ جائے فقیروں کی کمائی ۔۔۔اس دور کے سلطاں سے کو ئی بھول ہو ئ ہے ۔۔۔ 	N
عوامی تحریک کے رہنماء کی کارکنوں کو آبائی علاقوں میں جا کر بلدیاتی انتخابات کی تیاری کرنے کی ہدایت	P
ایک کڑوڑ ستر لاکھ معذور افراد کو معاشرے نے بلکل دھتکارا ہوا ہے ۔۔۔۔۔بہت افسوس کی بات ہے 	N
ہر کچھ عرصے بعد انقلاب کے نام پر یہ ناٹک اس خوف کے پیش نظر رچایا جاتا ہے کہ عوام کہیں حقیقی انقلاب کے لئے ہی کھڑے نہ ہو جائیں ۔	N
حضرت عمرؓ کی شان زاہدانہ 	P
 استعفیٰ کی بعد تو ہم پارلیمنٹ سے ہی باہر ہو جائیں گے قادری کی طرح ہمیں شرپسند عناصر کہا جائے گا	N
اس کی خاطر ھم نے اس کو چھوڑ دیا	N
فقیر وہ ہے جو اپنی غلطیوں پر اپنا احتساب کرے اور دوسروں کی اچھائیوں پر نظر ؟؟کھے نا کے دوسروں کو گالیاں دے اور خود کو فرشتہ سمجھے 	P
عوامی تحریک کے سربراہ ڈاکٹر طاہر القادری کا واپس کینیڈا جانے کا فیصلہ 	P
نواز شریف کی بھارت کے بعد اسرائیل کو خوش کرنے کی کوشش حکومت کی ناک کے عین نیچے اسرائیلی اسٹال 	P
’’وہ‘‘چلاجائے ،’’ہم‘‘ آجائیں ،دھرنے والوں کیلئے یہی تبدیلی ہے ،حاصل بزنجو 	N
 سوشل میڈیا پہ تو ہر کوئی کچھ بھی کہہ لیتا ھے اگر آپ احمدیوں کے لئے پرنٹ یا الیکٹرونک میڈیا پہ آواز اٹھائو تو بات اے 	P
فقیری اچھی پروہ جوآپ کولوگوں سے بے نیاز کردے نا کے وہ فقیری جس میں آپ لوگوں کی نیاز کے ہوں محتاج اور ہاتھ پھیلاتے پھریں سب کے سامنے 	N
هم اپنے حصے کا پاکستان ساتھ لائے ، پهلے پاکستان بنایا پهر یهاں آئے ، خواجه اظهار ایم کیو ایم 	P
گوجرہ میں قتل اور ڈکیتی کے گرفتار ملزمان کی نشاندہی پر اسلحہ برآمدپولیس نے قتل اور ڈکیتی کے گرفتار ملزمان کی۔۔۔ 	N
گو نواز گوگو قادری گوگو شہباز گوگو ذرداری گوگو بلاول گوگو ۔۔۔	N
ایم کیو ایم کا ملک گیر یوم سیاہ۔۔۔۔	N
 لگتا ھے مونس الٰہی کو قادری صاحب نے خصوصی دعا سے نواز دیا ھے ۔ ۔ :)	P
لاہور: چھاپہ مار ٹیم نے موقع سے مردار گوشت ھی برآمد کرلیا۔ عائشہ ممتاز 	N
خدا کے لیے کوئی کینڈی کرش ساگا گیم کھیلنے کے لئے جو لوگ مجھ کو انوائیٹ کرتے ہیں ان سے جان چھڑوائے خدا لئے ۔۔۔ 	P
ساحر لدھانیوی ، عصمت چغتائی ، راجندر سنگھ بیدی ، علی سردار جعفری اور دیگر ترقی پسند ادیب ساحل سمندر پر اکٹھے ہیں ۔۔۔ 	P
کیاعمران خان صرف ٹوئٹر اور فیس بک پہ وزیر اعظم بن سکتا ہے ؟	N
تھرپارکر میں 21 دنوں میں 22 بچے غذائی قلت سے جاں بحق، سندھ حکومت غافل 	N
بھائی کیا کہیں چاہ ہی ختم ہو گئی ہے ۔	N
لاہور: میٹروبس پر ۳۰ ارب خرچ ہوئے ۔	P
میں تحریک انصاف اور عوامی تحریک کے کارکنوں سے کہتا ہوں کہ اگر ہم سے کوئی سے کوئی بھی پیچھے ہٹے اسے چھوڑدینا، اگر ۔۔۔ 	N
