Tweet	Class
عوامی ٹیکسوں سے حاصل ہونے والا پیسہ سیاسی مقاصد کے لئے استعمال نہیں کیا جاسکتا : لاہور ہائیکورٹ	P
دولت واقعی آزمائش ھے ۔ اساتذہ اور تحقیق کرنے والوں کیلئے ھمارا بجٹ صرف 10 ھزار ھوتا ھے جبکہ ساوں ڈ سسٹم والے ڈی جے کیلئے ستائیس لاکھ :)انصاف	N
جب تک ذندہ ہوں یہیں بیٹھوں :پاکستان خان وطن کی مٹی مجھے ایڑیاں رگڑنے دے مجھے یقین ہے کہ چشمہ یہیں سے نکلے گا 	P
ﺍﮮ ﺁﺭ ﻭﺍﺋﯽ ﺩﯾﮑﮫ ﮐﺮ ﻣﯿﺮﮮ ﭘﺎﭘﺎ ﮐﻮ ﻣﺮﮔﯽ ﮐﮯﺩﻭﺭﮮ ﭘﮍﺗﮯ ﺗﮭﮯ ﻣﺒﺸﺮﻟﻘﻤﺎﻥ ﮐﻮ ﺩﯾﮑﮫ ﮐﺮ-- ﺣﻤﺰﮦﮐﻮ ﻟﻘﻮﮦ ﮨﻮ ﺟﺎﺗﺎ ﮨﮯ-- ﻣﺮﯾﻢﮔﻠﻮ ﺑﭩﻨﯽ	N
تمہارے پاؤں میں رکھ دی ہے شاعری اپنیکسی کو کون یوں اپنی کمائی دیتا ہے 	P
 اللہ آپ کا بھلا کرے ۔ یہی حضرت ہیں ۔آج بھی اسی حلیے میں تھے ۔ یہ فیصلہ کرنامشکل تھاکہ بدبوکامرکزکچراتھایا ان صاحب کے کپڑے 	N
کیا کوئی دوست پاکستان کے ٹیسٹ میچ کے بارے میں بتا سکتا هے ۔ ساتھ ٹائم لازم لکھنا	P
بریکنگ :- کراچی:ملزم سلیم کو پولیس گرفتارنہیں کرسکی،پولیس ذرائع	N
 طریقه تو غلط هے اوربدعت هے مگر طلاق پڑتی هے 	N
کھجور اور بلغم : بلغمی مزاج کے لوگ اگر دن میں پانچ کھجوریں کھائیں تو بلغم ختم ہوجاتی ہے ۔	P
دنیا گول هے چندے سے چندے تک کا سفر۔۔۔۔چندے سے انقلاب	P
اللہ جانے وے ماہی تیرا پیار کی اے دل دی اوداسی نی جاندی 	P
محرم الحرام کا چاند نظر آ گیا، یوم عاشورہ چار نومبر کو ہوگا	P
: ایم کیو ایم کو منانے کی کوئی کوشش نہیں کی،رحمان ملک گویا اس بار خود ہی ذلیل ہو کہ واپس آ جاویں گے جیسے طاھر کینیڈوی ذلیل و رسوا ہو کہ آ گئے 	P
افسوس صد افسوس 6 ماہ کا ایان بھی چل بسا 	N
خاتو ن جج کو کمرہ عدالت میں کرکٹ سیکھنی پڑگئی 	P
سلیکٹرز ۔۔۔ یونس خان کی جانب سے ایک اور سینچری 	P
ظلم آ سدھو سانوو 	N
 کبھی کبھی یوز کرتا ھوں 	P
ہ نئی احتیاط دیکھی ہے آئینے سے حجاب کرتے ہوایک دن نہ عدم جو پی تو کیاروز شغل شراب کرتے ہوعبدالحمید عدم	N
 اپنے باپ شوبازشریف کو بول پہلے وہ پنجاب کو بچالے اور تو اپنی بجلی پر توجہ دے ۔ ماما نا بن خیبر پختونخواہ کا۔جعلی معزز بهڑوے سالے 	N
اسلام آباد میں محرم الحرام کا چاند نظر آ گیا۔ نیا اسلامی سال مبارک ہو۔ ہم سب کے لیے برکت اور آسانی کا باعث بنے ۔آ مین	P
دانستہ چھوڑ جاؤں گا میدان ، اور تُمہارے ہوئے رہو گے ، اگر جیت بھی گئے 	P
افغانستان: آخری امریکی اور برطانوی دستوں کا آپریشن ختم کرنے کا فیصلہ 	P
ﻣﺮﯾﻢ ﻧﻮﺍﺯﮐﯽ ﯾﻮﺗﮫ ﻟﻮﻥ ﺍﺳﮑﯿﻢ ﮐﯽ ﭼﯿﺮﭘﺮﺳﻦ ﺗﻌﯿﻨﺎﺗﯽ ﮐﮯﺧﻼﻑ ﺩﺭﺧﻮﺍﺳﺖ ﮐﯽ ﮨﺎﺋﯿﮑﻮﺭﭦ ﻣﯿﮟ ﺳﻤﺎﻋﺖ ﺍﺩﺍﺭﮮﮐﯽ ﺗﺸﮑﯿﻞ،ﭼﯿﺮﭘﺮﺳﻦ ﮐﯽ ﺗﻘﺮﺭﯼ ﮐﮯﻃﺮﯾﻘﮧ ﮐﺎﺭﺍﻭﺭﺩﯾﮕﺮﮐﺎﺭ۔۔	N
اس عمر کے مرتبے کا میں کیا تذکرہ کرسکتا ہوں کہ جس کے ہونٹوں سے نکلے الفاظ کو خدا قرآن بنا کر اتار دیتا ہے ۔سیدنا عمر فاروق رضی اللہ عنہ	P
صرف 16 فیصد کے بل زیادہ آئے ،انھوں نے بجلی زیادہ استعمال کی، خواجہ آصف	N
اج بهت سے لوگو کو طاهر القادری کا فیصله سمج نهی ایا، کل پهر انهی لوگو کا کهنا هو گا طاهر القادری ڻهیک کهتے تهے ۔	P
کراچی :این ای ڈی یونیورسٹی میں ایڈمیشن کیلئے انٹری ٹیسٹ کا اعلان ہو گیا۔ 	P
پہلے دو تین گھونٹ کے بعد چائے بس گرم میٹھا پانی ہی رہ جاتی ہے 	N
 جزاک اللہ میں اسی کے انتظار میں ابھی تک سویا نہیں 	P
ڈانس ڈائریکٹر پپو سمراٹ نے اپنے کام کا مظاہرہ کیا 	P
تمام مسلمانوں کو نیا اسلامی سال مبارک ۔۔۔شہادت امیر المومنین سیدنا فاروق اعظم علیہ السلام اور سیدنا حسین علیہ السلام پر ہدیہ تعزیت	P
رسول ﷲ ﷺ نے فرمایا: خبردار کبھی بالارادہ نماز نہ چھوڑنا، کیونکہ جس نے دیدہ و دانستہ اور عمداً نماز چھوڑدی تو اللہ کا ذمہ اس سے بری ہے (ابن ماج)	P
تحریک انصاف استعفوں کے موقف پر قائم ہے ،نظام کی تبدیلی چاہتے ہیں ،شیریں مزاری"	P
مذہب کی چادر میں بدنما داغ ہیں ۔ ان بدنما داغوں کو دیکھنے کے لیے عقیدت کی عینک کو اتارنا پڑتا ہے ۔ ہم اکثر سمجھتے ۔۔۔ 	N
 چندے سے انقلاب لانے سے بہتر ہے کے ہم کسی مستحق کی امداد کریں اور اسکی زندگی کو خوشحال کر دیں -	P
لگتا ہے آسٹریلیا کی ٹیم بہت برا پرفارم کر رہی ہے ۔ ہماری حالت تو جوں کی توں ہے 	N
حضرت آسیہ رضی اللہ تعالٰی عنہا نے اپنا ایمان اپنے شوہر فرعون سے چھپایا تھا، جب فرعون کو اس کا پتہ چلا تو اس نے ۔۔۔ 	P
ڈاکٹر طارق سلیم کو امیر ضلع گجرات منتخب ہو گئے 	P
آپ میں سے وہ جنہوں نے جنرل ضیاع ال یک کا دور دیکھا ہے ، جان سکتے ہیں کہ ہم لوگ کس کرب سے گزرے ہوں گے پچھلی دو ٹویٹس ملاحظہ ہوں 	N
لاہور: جانوروں کا گوشت بھی قبضہ میں لے لیا گیا۔ 	N
 چندے سے انقلاب انقلاب تو بهاگنا ہی تها جہاز سے کنٹینر سے جہاز ا	N
مذہبی امور کے وزیر سردار محمد یوسف اور رکن قومی اسمبلی محمد صفدر نے اسلام آباد میں وزیر اعظم محمد نواز شریف سے ملاقات کی	P
لاہور: عوام نے مینڈیٹ دیا ہے دھرنوں سے فرق نہیں پڑتا۔ صوبائی وزیر قانون 	P
پاکستان کی قومی کرکٹ ٹیم کے سابق کپتان شعیب ملک کا باوٴلنگ ایکشن بھی مشکوک قرار دے دیا گیا، روزنامہ اُردو پوائنٹ	N
 بھارتی مقبوضہ کشمیر میں بین الاقوامی مبصر کی تعیناتی خطے میں پائیدار امن کیلئے ناگزیر ہے 	P
 نئ گیند	P
اسکاٹ لینڈ کے لوگوں کو ریفرنڈم کا حق دیا جا سکتا ہے تو کشمیر یوں کوکیوں نہیں ، مختلف ممالک میں بیٹھے ہمارے سفارت کاران معاملات پر کام نہیں کر رہے ،اویس لغاری	P
آسٹریلوی ماہرین کا طبی میدان میں اہم کارنامہ ، مردہ دل کی کامیاب پیوند کاری 	P
 رانا مشہود نہیں رانا مشکوک	N
سبزے کو جب کہیں جگہ نہ ملی بن گیا روئے آب پر کائی ۔۔ غالب	P
پاکستان میں " تعلیم" کہاں ؟؟ 	N
 45 سے پیپلز پارٹی ایک ھی نعرہ لگا کرحکومت میں آتی رھی اورمکرتی رھی۔ کیاپوچھاکبھی کسی نے کہ کدھرھے روٹی, کپڑا اورمکان۔	N
بجلی کی قیمتوں میں 52پیسے فی یونٹ اضافے کا امکان 	N
ٹویٹر معاشرے کی تباہی اور تمام برائیوں کی جڑ ہے ، سعودی مفتی اعظم	N
ﺁﺧﺮﯼ ﻓﺘﺢ ﺧﺎﻣﻮﺷﯽ ﮐﯽ ﮨﻮﺋﯽ ۔۔ﺍﻭﺭ ﺁﻭﺍﺯ ، ﻓﻨﺎ ﮨﻮ ﮔﺌﯽ ۔۔۔	P
بلدیاتی الیکشن کرانے کو تیار ہیں ، الیکشن کمیشن اجازت دے via 	P
مجھے سیدنا عمر فاروق رضی اللہ عنہ سے محبت اس وجہ سے بھی ہے کہ میں نے دیکھا کہ آدھی دنیا کا حکمران سر کے نیچے اینٹ رکھے درخت کے سائے تلے سویاہے 	P
 آپ کہاں سے ہو بھیا کینیڈا سے یا شوکت خانم ہسپتال میں پیدا ہوئے تھے ؟ چندے سے انقلاب	N
اووووووئے پاکستانیوں دس بیس روپے چندہ دو مجھے ، تمہارے لئے دھرنے دے رہا ہوں ! اگر آ نہیں سکتے ، چندہ تو دے سکتے ہو ناں !!!!چندے سے انقلاب	P
لوگوں پر ایک ایسا زمانہ آنے والا ہے کہ جس میں آدمی کو پرواہ نہیں ہوگی کہ جو وہ لے رہا ہے آیا کہ حلال ہے یا حرام(صحیح بخاری)	N
فرانس: اب ڈرونز بھی ریس لگاتے نظر آئیں گے : پیرس۔۔۔۔۔۔۔۔کار ریسنگ اور بائیک ریسنگ ماضی کا قصہ ہوگئی ہیں کیونکہ۔۔۔ 	P
 اعصاب شکن میچ میں کپتان ایسی ہی غلطیاں کرتا ہے ۔ عمران خان	N
® مریم نواز کی بحیثیت چیئرپرسن یوتھ لون اسکیم تقرری پر وفاقی حکومت سے جواب طلب ہائی کورٹ نے وفاقی حکومت سے وزیر ۔۔۔ 	N
 وہ تو بس ایسے ہی دل چاہ رہا تھا میرا ڈائلاگ مارنے کا :)	P
کچھ لوگوں کو شکریہ کہنا ہے جو۔۔۔پٹوریوں کو ان کی زبان میں جواب دیتے ہے اورکا دفاع کرتے ہے وغیرہ کو	P
خوبصورتی کی انتہاء ہو گئی ۔۔۔۔ 	P
عمران اگر اپنے بچوں کی صحیح تعداد بتا دے اور اپنا ڈوب ٹیسٹ که وه نشئی نھیں ھے وه چیک کروا تو شاید کچھ اور لوگ اس کی حمایت کردیں 	P
کوئی بھوک سے مر گیا اور کسی نے خودکشی کر لی تو کیا ہوا غریب تو مرتے ہی رهتے ہیں کسی کو انقلاب کی فکر ہے اور کسی کو حکومت کی	N
 اچھا اچھا صدر میں گھوم رہیں وہاں میرے پُھپُھا کی دُکان تھی لائف بُکس کے نام سے اور کراچی کمپنی میں فاران بُکس کے نام سے 	P
کیا اس سے زیادہ بھی تماشے کی تمنا ھے تمھیں 	P
عوامی تحریک جمعہ کو ایبٹ آباد میں جلسہ کرے گی: انقلابیوں کا اگلا پڑاؤ اب ایبٹ آباد میں ہوگا… 	P
بازؤوں سے محروم امریکی نو جوان ماہر گٹارسٹ بن گیا: نیویارک ۔۔۔۔۔۔ امریکہ سے تعلق رکھنے والے دو ۔۔۔ 	P
نورا اپنے رشتے دار پر سوار- 	N
اگرچہ انسان کو مقدر سے زیادہ رزق نہیں ملتا لیکن رزق کی تلاش میں سستی نہیں کرنی چاہیے ۔	P
اورنگی ٹاؤن کے 2 بچوں میں پولیو وائرس کی تصدیق 	N
ملک میں مذہب کے نام پر فرقہ واریت کی آگ بھڑکائی جا رہی ہے جس سے ملک کھوکھلا ہو رہا ہے : طارق جمیل	N
اسلام آباد دھرنا ختم کرنے پر ایک ایسی پارٹی کے کارکنان بھی زہر اگل رہے ہیں جن کے سربراہ پہلے دن سے ہی دن رات۔۔۔ 	N
اگرزمینی حقائق یہ بتلاتے ہوں کہ یہ ایک خنریزسیاسی سرگرمی ہے ۔	N
لاہور: انٹری ٹیسٹ کو ختم نہیں کیا، معاملہ زیر غور ہے ۔ صوبائی وزیر رانا مشہود 	P
کراچی: ایدھی سنٹر پر ڈاکے کا مرکزی ملزم گرفتار عیدھی صاحب پہلے بھی آپ کی ۲۳ سالہ دلہن کڑوڑوں روپے لے اڑی تھی	P
 کرکٹ کی اس بیکار ٹیم پر کیوں پاکستان کا قیمتی زرمبادلہ خرچ کیا جا رہا ہے یہ کبھی نہیں جیت سکتے ۔۔ ان کو دفع کرو	N
 لگ تو یو ہی رہا ہے کہ پاکستان میچ آسانی سے جیت لے گا 	P
دیکھو نعرے مت مارو اس نشئی عمران کا ذریعه معاش بتادواگر تمھیں پته ھے تو میں اس لاکھ درجے خود دار ھوں اپنی کھاتا ھوں 	P
قادری صاحب سمجھ تے تسی گے ہو گے 	P
حضرت اسما بنت یزید سے روایت ہے کہ رسول الله صلی اللہ علیہ وسلم نے ارشاد فرمایاکہ:قیامت کے دن سب لوگ (زندہ کیے جانے کے بعد) ایک وسیع اور ہموار	P
ﮐﻤﯿﺸﻦ ﻧﮯﻧﻨﺪﯼ ﭘﻮﺭﺑﺠﻠﯽ ﻣﻨﺼﻮﺑﮯﻣﯿﮟ ﺗﺎﺧﯿﺮﮐﺎﺫﻣﮯﺩﺍﺭﻭﺯﺍﺭﺕ ﻗﺎﻧﻮﻥ ﮐﻮﻗﺮﺍﺭ ﺩﯾﺎ، ﺗﺎﺧﯿﺮﮐﮯ ﺑﺎﻋﺚ ﻭﺯﺍﺭﺕ ﺧﺰﺍﻧﮧ ﮐﻮ 113 ﺍﺭﺏ ﺭﻭﭘﮯ ﮐﺎ ﻧﻘﺼﺎﻥ ﮨﻮﺍ، ﻭﺯﺍﺭﺕ ﭘﺎﻧﯽ ﻭ ﺑﺠﻠﯽ	N
آپ صلی الله علیہ وسلم نے فرمایا اگرجھک جانے ( عاجزی اختیار کرنے ) سے تمہاری عزت گھٹ جاے تو قیامت کے دن مجھ سے لے لینا( صحیح مسلم حدیث 784 )	P
: نواز شریف کے استعفے کے بغیر کنٹینر سے نہیں نکلوں گا - عمران خان (جھوٹے ہر روز نکلتا ہے بنی گالا بھی جاتا ہے :پ)	N
پیپلز پارٹی نے ہمشہ سندھ کارڈ استعمال کیا : الطاف حسین 	P
دبئی ٹیسٹ یونس خان کے نام ٹیسٹ کے دونوں اننگز میں سنچری لگاکر پاکستان کی تاریخ میں سب سے زیادہ سنچریاں بنانے والے کھلاڑی بن گئے 	P
 یہقاں تو فالوور بھی جان کو اٹک جاتا ہے ،لیڈر سے سوال کرنے کی کون جراؑت کر سکتا ہے ۔	N
منڈی بہاوالدین: شیخ علی پور کے قریب نامعلوم نوجوان کی نعش برآمد،	N
عوامی تحریک کا دھرنا ختم ہونے پر اسلام آباد میں عید کا سماں 	P
۔کیا زبردست دن تها آج پاکستان کرکٹ ٹیم کے لیے ۔۔پہلے تو احمد۔۔۔ 	P
قرآن و سنت کی روشنی میں لفظ مہاجر کی بے حرمتی پر فتویٰ جاری کیاجائے گا ، احتجاجی پروگرام کا انعقاد اور بھوک ہڑتال کی جائے گی	N
دبئی: پہلا ٹیسٹ، پاکستان کا آسٹریلیا کیخلاف ٹاس جیت کر بیٹنگ کا فیصلہ 	P
 بریکنگ :- لاہور میں مردہ جانوروں کا گوشت فراہم کیے جانے کاانکشاف	N
ﭘﺎﮐﺴﺘﺎﻥ- ﺁﺳﭩﺮﯾﻠﯿﺎ ﭨﯿﺴﭧ ﺳﯿﺮﯾﺰ ﺳﮯ ﻗﺒﻞ ﺑﯿﻦ ﺍﻻﻗﻮﺍﻣﯽ ﮐﺮﮐﭧ ﮐﻮﻧﺴﻞ ﻧﮯ ﭨﯿﺴﭧ ﺭﯾﻨﮑﻨﮓ ﺟﺎﺭﯼ ﮐﺮﺩﯼ ﮨﮯ	P
میں حُر ہوں ابھی لشکرِ یزید میں ھوں میرا حسینؑ ابھی کربلا نہیں پہنچا	P
جناب اسپیکرلاہور میٹرو بس منصوبہ ایک ارب 65 کروڑ 87 لاکھ روپے سالانہ خسارے میں چل رہا ہے ، دستاویز	N
میرا کپتان نہی بولا تو ہمیں بھی PAT کے دوستو کو کچھ نہی بولنا۔ہمیں اپنے راستے پر چلنا ہے اور منزل کی جانب بڑھنا ہے ۔انشااللہ نیا پاکستان	P
 بالکل ایسا ہی ہے بھائی۔۔۔ سیاسی دھرنا اور مذہبی اجتعمات پر دونوں پہ پابندی لگنی چاہییے 	N
غازی تربیلہ: گورنمنٹ پرائمری اسکول الدو میں دوران اسمبلی بجلی کی تارگرگئی،11طلبہ جھلس کرزخمی،اسپتال منتقل،پولیس	N
یہ بھی حقیقت ھے کہ لوگ اپنی سیاسی قائدین پہ اندھا اعتماد کرتے ہیں 	P
ان جیسے دوست سے بہتر ہے اکیلا رہنا	P
عوام کو مصروف رکھو بیوقوف بناتے رہو اور ملک لوٹتے رہوصوبے کا ڈرامہ رچا تے رہو کراچی کے عوام کو بیوقوف بنا تے ۔۔۔ 	N
 چور زیاده شور مچاتا ھے کورٹس زنده آباد اور قادری عمران اور مبشر سازشی مرده آباد	P
بات کہنی ہو کوئی وعدہ نبھانا ہواسے آواز دینی ہو اسے واپس بلانا ہوہمیشہ دیر کر دیتا ہوں میں مدد۔۔۔ 	N
تحریک انصاف نے استعفوں کی تصدیق کیلئے اسپیکر کے سامنے پیش ہونے کا فیصلہ کرلیا - سچ ٹی وی 	P
محرم کاچاند نظر آگیا کراچی :ﮈﯼ ﺟﯽ ﺭﯾﻨﺠﺮﺯ ﮐﯽ ﻣﺤﺮﻡ ﮐﮯ ﺩﻭﺭﺍﻥ ﺍﺳﻠﺤﮧ ﻟﮯ ﮐﺮ ﭼﻠﻨﮯ ﻭﺍﻟﻮﮞ ﮐﯿﺨﻼﻑ ﺳﺨﺖ ﮐﺎﺭﺭﻭﺍﺋﯽ ﮐﯽﮨﺪایت	P
﷽ ٭ قل ھواللہ احد٭ اللہ الصمد ٭لم یلد ولم یولد ٭ولم یکن لہ کفواً احد٭	P
سابق چیف جسٹس پاکستان کو شدید خطرات لاحق via 	N
اس بات کو ماننے میں کوئی تعامل نہیں کہ ہم اپنے مقصد میں 100% کامیاب نہیں ہوئے ۔ مگر ہم نے اس نظام پر کاری ضرب ضرور۔۔۔ 	N
چابی والا بابا ڈیزل خان سے گیم کر گیا۔ ضمنی انتخابات میں تحریک الزام کی خالی سیٹوں پر الیکشن لڑے گا جس کو تحریک انصاف مجبوراً سپورٹ کرے گی	P
نو منتخب امیر جماعت اسلامی ضلع اٹک اقبال خان حلف لے رہے ہیں ۔۔ 	P
یہ نیا لڑکا شاہ بھی کوئی اخیر ہی ٹیلنٹ ہے بھی تعریفیں کر رہا ہے ۔ 	P
منڈی بہاؤالدین: انڈر دی ٹری پرائمری سکول،اکیسویں صدی جہاں پوری دنیامیں سائنس اور ٹیکنالوجی کاراج ہے اور تمام۔۔۔ 	P
9 غذائیں جو رکھیں آپ کو سدا جوان 	P
جوانوں حاضری لگانے کا وقت هو چکا هے ؟ ,آفواج پاکستان زندہ باد	P
اب دامن حیات میں کچھ بھی نہیں رہافردا کی سرد آگ میں حالات جل گئے کلیات چٹک رہی ہیں کہ شاخوں پہ آبلے غنچوں کی مہکتوں سے میرے ہاتھ جل گئے 	N
الھم صلی علی محمد ﷺ 	P
قادریBVسے بولے ۔۔۔ڈاکٹر نے مجھے دانتوں میں کیڑا بتایا ھے بیوی ڈاکٹر نے آپکو بماری تو سہی بتائ پر جگہ غلط بتادی ہنسنا منع ہے الوداع انقلاب 	N
نیلے پاسپورٹ کی حفاظتی چھتری تلے رہنے والے لوگ	P
مینار پاکستان سے تکمیل تحریک پاکستان کے ایجنڈے کولے کر ملک بھرمیں اس تحریک کو پھیلائیں گے ۔ امیر صوبہ ڈاکٹر وسیم۔۔۔ 	P
 کچھ بھی نھیں ھوگا۔اسکا نوٹس تو سپر کورٹ کو خود لینا چاہیے تھا بھت پھلے ۔کوکین اب گولی کے نت نئے مزے مدھوشی !!	N
 ذیاد کدھر ھو بھائی دھائی ھے دھائی قادری نے لے لی ھڈی اور کس لی اپنی چڈی اب کینیڈا جائے گاپھر اگلے سال آئے گا 	P
کوئٹہ:دہشتگردی کا بڑا منصوبہ ناکام،دھماکا خیز مواد برآمد 	P
 ہن تے سردیاں آ گیی ین نے ، لسی ویسے ہی مک جانی جے 	P
تحفظات دور کرنے کی بجائے معطل کر دیا گیا : جاوید نسیم 	N
ملک بھر میں سردی نے اپنی جھلک دکھلا دی 	N
1/2 ایک جماعت سندھیوں کے جذبات سے کھیل رہی ہے کہ مہاجر قابض ہو رہے ہیں جبکہ دوسری جماعت مہاجروں کے جذبات سے کہ سندھی قابض ہو رہے ہیں 	N
سب سے بڑی دولت زبان ذاکر دل شاکر اور زن فرمانبردار ھے )امام غزالی(جس کے پاس بیوی گھر نوکر اور سواری ھو وه بادشاه ھے )مجددالف ثانی(	P
زیر نظر تصویر میں نوجون قیادت کے پیچھے جماعت کی پوری قیادت ہے ۔۔ اسے صحیح اسلامی جمہوریت کہتے ہیں ۔۔ جو تقویٰ،۔۔۔ 	P
مشیر کے عہدے کیلئے لطیف بٹ کی جگہ خالد محمود لیں گے ۔ 	P
نومنتخب ضلعی ذمہ داران جماعت اسلامی راولپنڈی جنرل سیکرٹری راجہ جواد احمد ۔نائب امراء سجاد احمد عباسی ۔ابو عمیر۔۔۔ 	P
لوگو ! کتاب کا خزانہ ہو جاؤ اور علم کے چشمے بن جاؤ اور روزانہ اللہ سے روزی مانگو۔ اگر تمہارے پاس بہت زیادہ روزی نہیں تو کوئی نقصان نہیں عمرؓ	P
ساقی تیری محفل میں ھم جام اچھالیں گے گر کچی بھی نا ملی تو کام ڈیزل سے چلا لیں گے چندے سے انقلاب 	P
 مٹھائی ہم امپائر کی انگلی کھڑی ہونے کے بعد کھائیں گے پہلے جنریٹر کے لئے ڈیزل منگوا لوں 	P
: مولانا ڈیزل سے ڈیزل خان تک کا شرمناک سفرڈیزل آ نہیں رہا ، ڈیزل آ گیا ہے 	N
 تم سے بڑا گھپلا کون ہے 	N
اسلام آباد اور پشاور میں محرم الحرام کا چاند نظر اگیا هے تمام اھل اسلام کو نیا سال مبارک ھو	P
محرم الحرام کا چاند نظر آگیا۔۔۔ نیا ھجری سال 1436 مبارک هو۔۔۔	P
نا اہلی اور رکنیت معطلی کے باوجود بھی افس پر قبضہ کیے ہوئے ہیں ،قبضہ گروپ اپنی سیٹوں کو چھوڑنے والے نہیں ،تحریک۔۔۔ 	N
تحریک انصاف کا صدرہاشمی حساس وقت پر ساتھ چھوڑ جائے تو خان کوفرق نہیں پڑا۔ قادری کے جانے سے کیوں پڑے گا جو تحریک انصاف کا ممبر بھی نہیں ۔	N
تہمتیں تو لگتی ہیں روشنی کی خواہش میں گھر سے باہر آنے کی کُچھ سزا تو ملتی ہے لوگ لوگ ہوتے ان کو کیا خبر جاناں !۔۔۔ 	P
دہشت گردی سے بھی زیادہ اموات ہر سال زہریلی شراب کی وجہ سے ہوتی ہے ۔ دہشت گردی اور ’’قدرتی‘‘ آفات کی طرح گھٹیا شراب سے بھی غریب ہی مرتا ہے 	N
کینیڈا کی پارلیمنٹ میں فائرنگ کی ویڈیو جاری 	N
دبئی ٹیسٹ: پاکستان کے دونوں اوپنرز 7 رنز پر آؤٹ: دبئی ٹیسٹ میچ میں پاکستان ٹاس جیت کر آسٹریلیا۔۔۔ 	N
حضرت امام حسین کا صبر شکر توکل اور رضائے الٰہی کائنات کے انسانوں کیلئے علم و عرفان کا مینار ہیں ‘ ۔۔۔ 	P
لاہور: وائرس کے مریضوں کے علاج کے لئے تربیت دی جارہی ہے ۔ڈی جی ہیلتھ 	P
 قیامت کی نشانیاں 	N
کس نے کھیل کھیلا ہے ، کس نے ہجر جھیلا ہے اب گزر گیا جاناں اس سوال کا موسم	P
4 سال بعد مگر انصاف مل گیادہلی کی ایک عدالت نے اجتماعی ریپ کیس کے تمام پانچ قصورواروں کو عمر قید کی سزا سنائی ہے 	P
جی دوستوآج کاسوال; کیمرہ کس نے ایجاد کیا؟ جواب دیں انعام جیتیں ، 	P
پی آئی اے میں 12 ڈائریکٹرز کے تقرر کی اجازت 17 کام کررہے ہیں 	P
بنوں میں دوستانہ میچ آئی ڈی پیز کی شاہد آفریدی الیون نے جیت لیا 	P
طاہر القادری پاکستان تین مہینے کے لے آیا تھا۔ویزے کی مدت ختم دہرنا ختم اورقادری اپنے ملک روانہ	N
